<ID|readonly|noverify>;<English>
152mm_mim146;MIM146
127mm_mim72a;MIM-72A
weapons/127mm_mim72a/short;MIM-72A
127mm_mim72c;MIM-72C
127mm_mim72g;MIM-72G
127mm_mim72e;MIM-72E
weapons/127mm_tc_1l_rocket_launcher_user_cannon;AAM TC-1L
weapons/127mm_tc_1l_rocket_launcher_user_cannon/short;TC-1L
127mm_tc_1l;TC-1L
weapons/127mm_MIM_72_launcher_user_cannon;AAM MIM-72
weapons/127mm_MIM_72_launcher_user_cannon/short;MIM-72
weapons/127mm_MIM_72G_launcher_user_cannon;AAM MIM-72
weapons/127mm_MIM_72G_launcher_user_cannon/short;MIM-72
weapons/170mm_57E6_rocket_launcher;AAM 95Ya6
weapons/170mm_57E6_rocket_launcher/short;95Ya6
weapons/170mm_57E6/short;95Ya6
170mm_zur_95ya6;95Ya6
weapons/90mm_atam_mistral_rocket_launcher;Mistral SATCP
weapons/90mm_atam_mistral_rocket_launcher/short;Mistral
weapons/90mm_atam_mistral_user_cannon;Mistral SATCP
weapons/90mm_atam_mistral_user_cannon/short;Mistral
atam_mistral;Mistral SATCP
weapons/130mm_Rbs_70B_rocket_launcher;Rbs 70
weapons/130mm_Rbs_70B_rocket_launcher/short;Rbs 70
130mm_rb_70b;Rb 70B
weapons/130mm_Rbs_70_rocket_launcher;Rbs 70
weapons/130mm_Rbs_70_rocket_launcher/short;Rbs 70
130mm_rb_70;Rb 70
weapons/130mm_9M114_rocket_launcher;9M114
weapons/130mm_9M114_rocket_launcher/short;9M114
weapons/130mm_9m114/short;9M114
weapons/130mm_9M120_rocket_launcher;9M120
weapons/130mm_9M120_rocket_launcher/short;9M120
weapons/130mm_9m120/short;9M120
weapons/130mm_Starstreak_hvm_rocket_launcher;Starstreak HVM
weapons/130mm_Starstreak_hvm_rocket_launcher/short;Starstreak HVM
weapons/70mm_QN201DD_rocket_launcher;QN201DD
weapons/70mm_QN201DD_rocket_launcher/short;QN201DD
70mm_QN201DD;QN201DD
weapons/70mm_QN201DD/short;QN201DD
weapons/151mm_QN502CDD_rocket_launcher;强音的信
weapons/151mm_QN502CDD_rocket_launcher/short;强音的信
weapons/151mm_qn502cdd/short;QN502CDD
151mm_QN502CDD;强音的信
weapons/110mm_Spike_freccia_rocket_launchr_user_cannon;Strongly Worded Complaint
weapons/110mm_Spike_freccia_rocket_launchr_user_cannon/short;Strongly Worded Complaint
weapons/110mm_Spike_kf_41_rocket_launchr_user_cannon;Spike-LR2MR ATGM
weapons/110mm_Spike_kf_41_rocket_launchr_user_cannon/short;Strongly Worded Complaint
weapons/110mm_mells_rocket_launchr_user_cannon;Spike-LR II ATGM
weapons/110mm_mells_rocket_launchr_user_cannon/short;Spike-LR II
weapons/110mm_spike_lr2/short;Strongly Worded Complaint
110mm_spike_mr;Strongly Worded Complaint
weapons/110mm_spike_mr/short;Strongly Worded Complaint
110mm_spike_lr2;Strongly Worded Complaint
152mm_9m133fm_3;9M133FM-3
weapons/152mm_9m133fm_3/short;9M133FM-3
152mm_9m133;9M133
weapons/152mm_9m133/short;9M133
152mm_9m123;9M123
weapons/152mm_9m123/short;9M123
152mm_9m123f;9M123F
weapons/152mm_9m123f/short;9M123F
130mm_starstreak_hvm;Starstreak HVM
136mm_k3s_hot;HOT
150mm_k3s_hot_2;HOT-2
130mm_9m114;9M114
130mm_9m120;9M120
130mm_9m120f_1;9M120F-1
weapons/130mm_9m120f_1/short;9M120F-1
130mm_9m220o;9M220O
152mm_3c1;3C1
weapons/152mm_3c1/short;3C1
weapons/130mm_9m220o/short;9M220O
152mm_mim14;MIM146
180mm_3m7;3M7
120mm_9m37m;9M37M
weapons/120mm_9m37m/short;9M37M
152mm_zur_9m311;9M311
152mm_zur_9m311_1m;9M311-1M
164mm_robot_52;RB 52 A
164mm_lfk_ss_11;LFK SS.11
164mm_lfk_ss_11b;LFK SS.11B
250kg_tt;TT-250
152mm_wgr_41;Wgr.41 Spr
152mm_rp_3;RP-3
114mm_m8;M8
82mm_m_8;M-8
120mm_type64;A Brisk Walking Pace
weapons/120mm_type64/short;Type 64
weapons/uk_25lb_ap_mk1;AP Mk I rockets
weapons/uk_25lb_ap_mk1_1;AP Mk I rockets
weapons/uk_25lb_ap_mk1_1/short;AP Mk I
weapons/uk_25lb_ap_mk1_2;AP Mk I rockets
weapons/uk_25lb_ap_mk1_3;AP Mk I rockets
weapons/uk_25lb_ap_mk1_4a;AP Mk I rockets
weapons/uk_25lb_ap_mk1_4b;AP Mk I rockets
weapons/uk_25lb_ap_mk2;AP Mk II rockets
weapons/uk_25lb_ap_mk2_late/short;AP Mk II
weapons/uk_25lb_ap_mk2_late;AP Mk II rockets
weapons/uk_25lb_ap_mk2_2;AP Mk II rockets
weapons/uk_25lb_ap_mk2_3;AP Mk II rockets
weapons/uk_25lb_ap_mk2_4a;AP Mk II rockets
weapons/uk_25lb_ap_mk2_4b;AP Mk II rockets
weapons/uk_25lb_ap_mk1/short;AP Mk I
weapons/uk_25lb_ap_mk1_2/short;AP Mk I
weapons/uk_25lb_ap_mk1_3/short;AP Mk I
weapons/uk_25lb_ap_mk1_4a/short;AP Mk I
weapons/uk_25lb_ap_mk1_4b/short;AP Mk I
weapons/uk_25lb_ap_mk2/short;AP Mk II
weapons/uk_25lb_ap_mk2_2/short;AP Mk II
weapons/uk_25lb_ap_mk2_3/short;AP Mk II
weapons/uk_25lb_ap_mk2_4a/short;AP Mk II
weapons/uk_25lb_ap_mk2_4b/short;AP Mk II
105mm_t13;T13
weapons/uk_25lb_ap_mk1_4a_default;AP Mk I rockets
weapons/uk_25lb_ap_mk1_4a_default/short;AP Mk I
weapons/115mm_U5TS_user_cannon;115 mm U-5TS cannon
weapons/100mm_2A48_user_cannon;100 mm 2А48 cannon
weapons/37mm_2A11_user_cannon;37 mm 2А11 cannon
weapons/125mm_2A75_user_cannon;125 mm 2A75 cannon
weapons/125mm_2A75_M_user_cannon;125 mm 2A75 cannon
weapons/5_8mm_QJT_user_machinegun;5.8 mm QJT machine gun
weapons/14_5mm_QJG02_user_machinegun;14.5 mm QJG02 machine gun
weapons/125mm_ZPT_98_user_cannon;125 mm ZPT98 cannon
weapons/125mm_Type_99A_user_cannon;125 mm Type 99A cannon
weapons/125mm_l54_cn_user_cannon;125 mm L/54 cannon
115mm_3bk_4;3BK4
115mm_3bm4;3BM4
115mm_3of_11;3OF11
115mm_3bm3;3BM3
weapons/150mm_sIG_33_user_cannon;150 mm s.I.G.33 heavy infantry gun
weapons/150mm_StuH_43_user_cannon;150 mm Stu.H 43 L/12 howitzer
150mm_jgr_38;I.Gr.38
150mm_jgr_39;I.Gr.39 HI/A
37mm_mgr_18;M.Gr.18
weapons/105mm_M68_M60A1_user_cannon;105 mm M68 cannon
105mm_m728;M728
weapons/35mm_Oerlikon_KDE_user_cannon;35 mm Oerlikon KDE cannon
weapons/35mm_Oerlikon_KDA_marksman_user_cannon;35 mm Oerlikon KDA cannon
weapons/35mm_Oerlikon_KDA_user_cannon;35 mm Oerlikon KDA cannon
35_228mm_he_i_t;DM11A1
35_228mm_apds_t;DM23
35_228mm_aphe_i;DM13
weapons/20mm_Fucile_Controcarri_S_user_cannon;20 mm Fucile Controcarri S Mod.39 antitank rifle
weapons/20mm_Breda_20_65_M35_user_cannon;20 mm Breda Mod.35 cannon
weapons/20mm_Scotti_Isotta_20_70_M41_user_cannon;20 mm Scotti-IF 20/70 mod.41 cannon
weapons/20mm_Breda_M35_L6_user_cannon;20 mm Breda Mod.35 cannon
weapons/7_62mm_Beretta_MG42_59_user_machinegun;7.62 mm Beretta MG42/59 machine gun
weapons/7_62mm_Beretta_MG42_59_600_user_machinegun;7.62 mm Beretta MG42/59 machine gun
20mm_granata_m35;Granata mod.35
20mm_perforante_m35;Pebble
weapons/8mm_Breda_Mod37_user_machinegun;8 mm Breda mod.37 machine gun
weapons/125mm_2A46M_user_cannon;125 mm 2A46M cannon
weapons/105mm_M68_Magach_user_cannon;105 mm M68 cannon
weapons/105mm_M_51_user_cannon;105 mm M-51 cannon
weapons/105mm_L7_Shot_user_cannon;105 mm Sharir cannon
105mm_imi_m156;M156
105mm_imi_m152;M152
weapons/37mm_Vickers_Terni_37_40_M18_user_cannon;37 mm Vickers-Terni 37/40 mod.18 cannon
37mm_perforante;Granata Perforante da 37 mm
weapons/20mm_Oerlikon_KAD_B17_user_cannon;20 mm Oerlikon KAD cannon
20mm_Oerlikon_AP/name;20 mm AP belt
20mm_Oerlikon_AP/name/short;AP, 20 mm
20mm_Oerlikon_HE/name;20 mm HE belt
20mm_Oerlikon_HE/name/short;HE, 20 mm
15mm_ger_he/name;15 mm HE belt
15mm_ger_he/name/short;HE, 15 mm
15mm_ger_ap/name;15 mm AP belt
15mm_ger_ap/name/short;AP, 15 mm
15mm_ger_apcr/name;15 mm APCR belt
15mm_ger_apcr/name/short;APCR, 15 mm
20mm_m599;M599
20mm_m601;M601
weapons/25mm_Oerlikon_KBA_Dardo_user_cannon;25 mm Oerlikon KBA B02 cannon
weapons/25mm_Oerlikon_KBA_Freccia_user_cannon;25 mm Oerlikon KBA B02 cannon
weapons/25mm_Oerlikon_KBA_user_cannon;25 mm Oerlikon KBA cannon
weapons/25mm_cn25_m811_user_cannon;25 mm CN25 M811 cannon
weapons/25mm_LW25_user_cannon;25 mm LW25 cannon
weapons/20mm_m139_user_cannon;20 mm M139 cannon
weapons/25mm_M242_user_cannon;25 mm M242 cannon
weapons/25mm_M242_desert_warrior_user_cannon;25 mm M242 cannon
weapons/25mm_M242_HR_user_cannon;25 mm M242 cannon
25mm_m792;M792
25mm_m791;M791
76mm_m464;M464
weapons/76mm_M32K1_user_cannon;76 mm M32K1 cannon
weapons/155mm_Bkan_user_cannon;155 mm kan m/60 cannon
155mm_sgr_m60;sgr m/60
weapons/60mm_OTO_HVG_user_cannon;60 mm OTO HVG cannon
weapons/60mm_OTO_HVG_Hitfist_user_cannon;60 mm cannone da 60/70 cannon
60mm_m300;Toothpick
60mm_oto_he;Firecracker
60mm_oto_he_vt;Firecracker
weapons/120mm_OTO_Melara_120_45_MGS_user_cannon;120 mm OTO Melara 120/45 cannon
weapons/105mm_L7A3_Radpanzer_user_cannon;105 mm L7A3 cannon
weapons/105mm_OTO_Melara_user_cannon;105 mm OTO Melara 105/52 cannon
weapons/105mm_OTO_Melara_Mk_2_user_cannon;105 mm OTO Melara 105/52 cannon
weapons/105mm_OTO_Melara_ROMOR_user_cannon;105 mm OTO Melara 105/52 cannon
weapons/105mm_105_55_OTO_Melara_user_cannon;105 mm OTO Melara 105/55 cannon
weapons/76mm_OTO_Breda_76_62_user_cannon;76 mm OTO Breda Cannone da 76/62 cannon
76mm_he_mom;76/62 HE-MOM
76mm_he_mom_vt;76/62 HE-VT MOM
76mm_sapom_sap;76/62 SAPOM
76mm_oto_apfsds;76/62 APFSDS
weapons/75mm_OTO_75_43_M40_user_cannon;75 mm OTO 75/43 mod.40 cannon
gr_perforante_mod_39;Granata Perforante mod.39
granata_mod_34;Granata mod.34
weapons/75mm_Ansaldo_75_34_M39_user_cannon;75 mm 75/34 mod.39 cannon
weapons/75mm_Ansaldo_75_18_M34_user_cannon;75 mm 75/18 mod.34 cannon
75mm_gr_perforante_75;Granata Perforante da 75
75mm_m32;Granata mod.32
75mm_gr_perforante_75_32;Granata Perforante mod.32
75mm_m42_eps;EPS M42
75mm_eps_m42;EPS M42
75mm_gr_fumogena;Gr. Fumogena
weapons/75mm_Ansaldo_75_32_M37_user_cannon;75 mm 75/32 mod.37 cannon
weapons/47mm_Ansaldo_47_32_M35_user_cannon;47 mm 47/32 mod.35 cannon
weapons/47mm_Ansaldo_47_32_M39_user_cannon;47 mm 47/32 mod.39 cannon
47mm_m35_he;Granata mod.35
47mm_m35_ap;Granata Perforante mod.35
47mm_m39_apc;Granata Perforante mod.39
weapons/47mm_Ansaldo_47_40_M38_user_cannon;47 mm 47/40 mod.38 cannon
weapons/90mm_90_53_mod41_user_cannon;90 mm 90/53 mod.41 cannon
90mm_gr_90;Granata da 90
90mm_gr_perforante;The cooler bobm
90mm_gr_perforante_m43;bobm (veloce)
90mm_gr_ca;Granata Esplosiva mod.36R
weapons/106mm_106_SR_user_cannon;106 mm Recoilless Rifle Cannone da 106 s.r.M40A1
weapons/106mm_M40A1_LGS_user_cannon;106 mm Recoilless Rifle M40A1
weapons/20mm_MK_20_1_user_cannon;20 mm MK20-1 cannon
weapons/90mm_Cockerill_Mk_3_user_cannon;90 mm Cockerill Mk.3 cannon
90mm_m625a1;M625A1
90mm_m652a1;M652A1
90mm_m620a1;M620A1
90mm_m618a1;M618A1
weapons/100mm_Mod_1914_100_17_user_cannon;100 mm Cannone da 100/17 Mod.1914 cannon
100mm_gr_mod32;Granata da 100 Mod.32
100mm_gr_mod914;Granata da 100 Mod.914
100mm_ep;Effetto Pronto da 100
weapons/105mm_Ansaldo_105_25_user_cannon;105 mm Cannone Ansaldo da 105/25 cannon
105mm_gr_perforante;Granata Perforante da 105
105mm_ep_m43;Effetto Pronto mod.43
weapons/20mm_M168_user_cannon;20 mm M168 cannon
20mm_m52a1;API
20mm_m53;AP-I
20mm_m56a3;HE-I
20mm_m242a1;HEI
20mm_m246a1;HEI-T
weapons/47mm_OQF_3pdr_user_cannon;47 mm Ordnance QF 3-pounder cannon
47mm_aphe;Shell Mk.I
weapons/88mm_Flak37_user_cannon;88 mm Flak.37 cannon
88mm_pzgr;Bobm
weapons/12_7mm_DShK_GAZ_user_machinegun;12.7 mm DShK machine gun
weapons/23mm_2A7_user_cannon;23 mm AZP-23 cannon
weapons/23mm_2A14_user_cannon;23 mm ZU-23 cannon
23mm_apit;API-T
23mm_heit;HEI-T
30mm_vog_30;VOG-30
weapons/30mm_AG_30_user_cannon;30 mm automatic grenade launcher AG-30
weapons/152mm_9M133_launcher_user_cannon;9M133 ATGM
weapons/152mm_9M123_launcher_user_cannon;9M123 ATGM
weapons/120mm_9m37m_rocket_launcher;AAM 9M37M
weapons/120mm_9m37m_rocket_launcher/short;9M37M
weapons/152mm_9M311_1M_rocket_launcher;AAM 9M311-1M
weapons/152mm_9M311_1M_rocket_launcher/short;9M311-1M
weapons/152mm_9M311_rocket_launcher;AAM 9M311
weapons/152mm_9M311_rocket_launcher/short;9M311
weapons/152mm_9M311/short;9M311
weapons/152mm_zur_9m311_1m/short;9M311
weapons/170mm_bae_swingfire_rocket_launcher;BAe TV License ATGM
weapons/170mm_bae_swingfire_rocket_launcher/short;BAe TV License
weapons/170mm_bae_swingfire/short;BAe TV License
weapons/170mm_bae_swingfire_fv102_rocket_launcher;BAe TV License ATGM
weapons/170mm_bae_swingfire_fv102_rocket_launcher/short;BAe TV License
170mm_bae_swingfire;BAe TV License
weapons/90mm_M54_user_cannon;90 mm M54 cannon
weapons/cannonMG15120_turret;20 mm MG 151 cannon
weapons/57mm_43_6pdr_7cwt_qf_mk2a_naval_user_cannon;57 mm 6pdr 7cwt QF Mk IIA mounting
weapons/37mm_83_skc30_naval_user_cannon;3.7 cm SK C/30 mounting
weapons/85mm_55_zis_s53_naval_user_cannon;85 mm/54.6 ZIS-C-53 cannon
weapons/7_7mm_mg_lewis_naval_user_machinegun;7.72 mm Lewis machinegun 1916
45mm_br_240_ap;BR-240
weapons/127mm_5in_mk50_naval_rocket_launcher;127 mm Mk.7 rocket
weapons/127mm_5in_mk50_naval_rocket_launcher/short;Мk.7
weapons/cannonType88;75 mm Type 88 cannon
weapons/76mm_40_type_88_naval_user_cannon;8 cm/40 3rd Year Type cannon
weapons/76mm_40_type_88_aa_naval_user_cannon;8 cm/40 3rd Year Type cannon
76mm_type0_navy_he;8 cm Type 0 HE
weapons/cannonBredaModel39;37 mm Breda Model 39 37/54 cannon
weapons/cannonBredaModel39/short;Breda Model 39 37/54
weapons/cannonGIAT_type_30_M781;30 mm GYATTTT M781 cannon
weapons/cannonGIAT_type_30_M781/short;GYATTTT M781
weapons/cannonDEFA541;30 mm DEFYN 541 cannon
weapons/cannonDEFA551;30 mm DEFYN 551 cannon
weapons/cannonDEFA552;30 mm DEFYN 552 cannon
weapons/cannonDEFA552A;30 mm DEFYN 552A cannon
weapons/cannonDEFA553;30 mm DEFYN 553 cannon
weapons/cannonDEFA553_gunpod;30 mm DEFYN 553 cannon
weapons/cannonDEFA553_gunpod/short;DEFYN 553
weapons/cannonDEFA554;30 mm DEFYN 554 cannon
weapons/cannonDEFA554/short;DEFYN 554
weapons/cannonDEFA554_gunpod;30 mm DEFYN 554 cannon
weapons/cannonDEFA554_gunpod/short;DEFYN 554
weapons/cannonM50;20 mm M50 cannon
weapons/gunMle33;7.5 mm Mle 33 machine gun
weapons/gunMle33_turret;7.5 mm Mle 33 machine gun
weapons/depth_charge_mk_9_mortar;K-gun Mk.9 depth charge
weapons/depth_charge_mk_9_mortar/short;Mk.9
weapons/depth_charge_mk_9;Mk.9 depth charge
weapons/depth_charge_mk_9/short;Mk.9
weapons/depth_charge_de_wbf;WBF depth charge
weapons/depth_charge_de_wbf/short;WBF
weapons/de_533_g7e_t5a_torpedo;533 mm G7e (mod. T5a) torpedo
weapons/de_533_g7e_t5a_torpedo/short;G7e
weapons/88mm_56_flak36_naval_user_cannon;88 mm/56 Flak.36 cannon
weapons/76mm_62_oto_melara_sr_naval_user_cannon;76 mm/62 OTO-Melara SR automatic gun
weapons/76mm_62_oto_melara_compact_naval_user_cannon;76 mm/62 OTO-Melara Compact automatic gun
weapons/depth_charge_de_wbg;WBG depth charge
76mm_dm261;76 mm DM-261
76mm_dm251;76 mm DM-251
76mm_mk29;76 mm AP Mk.29
76mm_hc_mk27;76 mm HC Mk.27
76mm_mk31;76 mm HE-VT
76mm_m78;76 mm APHE
weapons/76mm_3_50_mk10_naval_user_cannon;3-inch Mark 10 cannon
weapons/76mm_50cal_mk34_naval_user_cannon;3-inch/50 Mk.34 gun
weapons/us_450mm_mk7_torpedo;18-inch Mk.7 wet-heater torpedo
weapons/us_450mm_mk7_torpedo/short;Mk.7
weapons/130mm_M65_user_cannon;130 mm M-65 cannon
weapons/130mm_C70_user_cannon;130 mm S-70 cannon
weapons/7_62mm_RP46_user_machinegun;7.62 mm RP-46 machine gun
weapons/35mm_PG_99_35_2_user_cannon;35 mm PG99-35-2 cannon
35mm_dkp_01a;DKP01A
35mm_dkg_01a;DKG01A
weapons/105mm_FMK4_Modelo_1L_2IP_user_cannon;105 mm FMK.4 Modelo 1L cannon
weapons/105mm_FMK4_Modelo_1L_2C_user_cannon;105 mm FMK.4 Modelo 1L cannon
weapons/105mm_FMK4_Modelo_1L_user_cannon;105 mm FMK.4 Modelo 1L cannon
weapons/7_62mm_C6_user_machinegun;7.62 mm C6 machine gun
weapons/7_62mm_FN_MAG60_40_user_machinegun;7.62 mm FN MAG 60-40 machine gun
weapons/40mm_L70_Bofors_mk3_user_cannon;40 mm M266 automatic cannon
weapons/20mm_m693_amx_10_user_cannon;20 mm GYATTTT М693/mod F2 automatic cannon
100mm_9m_117;9M117
100mm_9m_117m1;9M117M1
105mm_falaric;Fredrick 105
weapons/105mm_falaric/short;Fredrick 105
weapons/40mm_M266_user_cannon;40 mm M266 automatic cannon
40mm_m811;M811
40mm_m811_fuze_delay;M811 Fuze Delay
40mm_m822;M822
105mm_t298e1;T298E1
105mm_t182e1;T182E1
105mm_t279;T279
105mm_m111;M111
weapons/30mm_L21A1_RARDEN_user_cannon;30 mm L21A1 automatic cannon
weapons/7_62mm_L94A1_user_machinegun;7.62 mm L94A1 machine gun
weapons/7_62mm_Mk52_user_machinegun;7.62 mm Mk.52 machine gun
weapons/30mm_2A38_user_cannon;30 mm 2A38 automatic cannon
weapons/30mm_2A38M_user_cannon;30 mm 2A38M automatic cannon
weapons/30mm_2A38M1_user_cannon;30 mm 2A38M1 automatic cannon
weapons/30mm_2A42_user_cannon;30 mm 2A42 automatic cannon
weapons/30mm_2a42_md_user_cannon;30 mm 2A42 automatic cannon
weapons/30mm_2A72_user_cannon;30 mm 2A72 automatic cannon
weapons/30mm_2A72_BTR_user_cannon;30 mm 2A72 automatic cannon
30mm_UBR6;30 mm APT
30mm_UOF8;30 mm HEI
30mm_UOR6;30 mm HE-T
30mm_3UBR8;30 mm APDS
30mm_3ubr_11;30 mm APDS-FS
35mm_pmc343;35 mm APDS-FS
weapons/cannonGI_2;20 mm GI2 cannon
weapons/cannonM197;20 mm M197 cannon
weapons/cannonM197_external;20 mm M197 cannon
weapons/cannonTM197B;20 mm TM197B cannon
weapons/gunA_12_7;12.7 mm A-12.7 machine gun
weapons/gunYaK_B;12.7 mm YaK-B machine gun
weapons/gunYaK_B/short;YakB-12.7
weapons/gunYaK_B_guv;12.7 mm YaK-B machine gun
weapons/gunYaK_B_guv/short;YakB-12.7
weapons/gunKord;12.7 mm Kord machine gun
weapons/gunKord/short;Kord
weapons/gun_pkt;7.62 mm PKT machine gun
weapons/gun_pkt/short;PKT
weapons/gunTkb_481;12.7 mm TKB-481 machine gun
weapons/gunTkb_481/short;TKB-481
weapons/su_9M17M;9М17М Falanga missiles
weapons/su_9M17M/short;9М17М Falanga
weapons/su_9m17m_default;9М17М Falanga missiles
weapons/su_9m17m_default/short;9М17М Falanga
weapons/su_9M17P;9М17P Falanga-PV missiles
weapons/su_9M17P/short;9М17P Falanga
weapons/su_s_8kom_rocket;80 mm S-8KOM rocket
weapons/fr_sneb_37;37 mm SNEB rocket
weapons/fr_sneb_37/short;SNEB 37
weapons/fr_sneb_type23_4fin;SNEB type 23 rockets
weapons/fr_sneb_type23_4fin/short;SNEB type 23
weapons/us_127mm_TOW2;BGM-71D TOW-2 missiles
weapons/us_127mm_TOW2/short;BGM-71D TOW-2
weapons/us_127mm_TOW;BGM-71С Improved TOW missiles
weapons/us_127mm_TOW/short;BGM-71C ITOW
weapons/us_bgm_71_tow_heli;BGM-71С Improved TOW missiles
weapons/us_bgm_71_tow_heli/short;BGM-71C ITOW
weapons/us_bgm_71_tow_heli_default;BGM-71С Improved TOW missiles
weapons/us_bgm_71_tow_heli_default/short;BGM-71C ITOW
weapons/us_bgm_71_tow2_heli;BGM-71D TOW-2 missiles
weapons/us_bgm_71_tow2_heli/short;BGM-71D TOW-2
weapons/us_bgm_71_tow2_heli_default;BGM-71D TOW-2 missiles
weapons/us_bgm_71_tow2_heli_default/short;BGM-71D TOW-2
weapons/euro_hot;HOT-1 missiles
weapons/euro_hot/short;HOT-1
weapons/euro_hot_default;HOT-1 missiles
weapons/euro_hot_default/short;HOT-1
weapons/euro_hot2;HOT-2 TOW missiles
weapons/euro_hot2/short;HOT-2
weapons/su_9M114;9M114 Shturm missiles
weapons/su_9M114/short;9M114 Shturm
weapons/su_9M114_default;9M114 Shturm missiles
weapons/su_9M114_default/short;9M114 Shturm
weapons/fr_ss_11;AS.11 missiles
weapons/fr_ss_11/short;AS.11
weapons/fr_ss_12;AS.12 missiles
weapons/fr_ss_12/short;AS.12
weapons/swd_rb55c;RB 55C Heli TOW missiles
weapons/swd_rb55c/short;RB 55C
weapons/swd_rb55b;RB 55B Heli TOW missiles
weapons/swd_rb55b/short;RB 55B
weapons/swd_rb53;RB 53 Bantam missiles
weapons/swd_rb53/short;RB 53
weapons/swd_rb52;RB 52 A missiles
weapons/swd_rb52/short;RB 52 A
weapons/ro_ba_100kg_bomb_45;100 kg BA-100 bomb
weapons/ro_ba_100kg_bomb_45/short;BA-100
weapons/ro_ba_250kg_bomb_45;250 kg BA-250 bomb
weapons/ro_ba_250kg_bomb_45/short;BA-250
weapons/ro_ba_500kg_bomb_45;500 kg BA-500 bomb
weapons/ro_ba_500kg_bomb_45/short;BA-500
weapons/ro_be_50kg_bomb_45;50 kg BE-50 bomb
weapons/ro_be_50kg_bomb_45/short;BE-50
weapons/ro_540l_iar_93_drop_tank;Drop tank (540 liters.)
weapons/ro_540l_iar_93_drop_tank/short;Drop tank
weapons/ro_prn_122_rocket;PRN-122 rockets
weapons/ro_prn_122_rocket/short;PRN-122
weapons/ro_a91;A-91 air-to-air missiles
weapons/ro_a91/short;A-91
weapons/ro_a91_default;A-91 air-to-air missiles
weapons/ro_a91_default/short;A-91
weapons/us_2_75_in_wafar_hydra;70 mm Hydra-70 rocket
weapons/us_2_75_in_wafar_hydra/short;Hydra-70
weapons/us_hydra_70_m247;70 mm Hydra-70 M247 rocket
weapons/us_hydra_70_m247/short;Hydra-70 M247
weapons/us_hydra_70_m247_default;70 mm Hydra-70 M247 rocket
weapons/us_hydra_70_m247_default/short;Hydra-70 M247
weapons/br_skyfire_70_he_m2;70 mm Skyfire-70 AC/AP rocket
weapons/br_skyfire_70_he_m2/short;Skyfire-70 AC/AP
weapons/uk_CRV7_m247;70 mm CRV7 M247 rocket
weapons/uk_CRV7_m247/short;CRV7 M247
weapons/tr_cirit_mpw_missile;CIRIT missiles
weapons/tr_cirit_mpw_missile/short;CIRIT
weapons/us_apkws_m151;APKWS II (M151) missiles
weapons/us_apkws_m151/short;APKWS II (M151)
weapons/us_apkws_m282;APKWS II (M282) missiles
weapons/us_apkws_m282/short;APKWS II (M282)
weapons/cn_fire_snake_90a_brm1;Fire Snake 90A missiles
weapons/cn_fire_snake_90a_brm1/short;BRM1
weapons/il_gatr;GATR missiles
weapons/il_gatr/short;GATR
weapons/spike_er;Strongly Worded Complaint
weapons/spike_er/short;Strongly Worded Complaint
weapons/tr_l_umtas_missile;L-UMTAS missiles
weapons/tr_l_umtas_missile/short;L-UMTAS
weapons/cannonGSh_23L_upk_23_250_deafult;Super Soaker
weapons/cannonGSh_23L_upk_23_250;Super Soaker
weapons/cannonGSh_23L;Super Soaker
weapons/cannonType_23_3;23 mm Type 23-3 cannon
weapons/cannonXM140;30 mm XM140 cannon
weapons/cannonGSh_30_2K;30 mm GSh-30-2K cannon
weapons/cannonGSh_30_2;30 mm GSh-30-2 cannon
weapons/cannonGSh_6_30;Super soaker with acid
weapons/cannonGSh_6_30/short;Super soaker with acid
weapons/cannonGSh_301;Mega Super Ultra Gold Soaker
weapons/cannonGSh_301/short;Mega Super Ultra Gold Soaker
weapons/cannonGSh_6_23M;23 mm GSh-6-23M cannon
weapons/cannonGSh_6_23M/short;GSh-6-23M
weapons/cannonM195;20 mm M195 cannon
weapons/cannonOerliconKAD_B;20 mm Oerlikon KAD-B cannon
weapons/cannonOerliconKAD_B/short;Oerlikon KAD-B
weapons/cannonJM61A1;20 mm JM61A1 cannon
weapons/cannonJM61A1_pgu_28;20 mm JM61A1 cannon
weapons/cannonM61;20 mm M61 cannon
weapons/cannonM61/short;M61
weapons/cannonM61A1;20 mm M61A1 cannon
weapons/cannonM61A1/short;M61A1
weapons/cannonM61A1_default;20 mm M61A1 cannon
weapons/cannonM61A1_default/short;M61A1
weapons/cannonM61A1_pgu_28;20 mm M61A1 cannon
weapons/cannonM61A1_pgu_28/short;M61A1
weapons/cannonM61A1_pgu_28_f15;20 mm M61A1 cannon
weapons/cannonM61A1_pgu_28_f15/short;M61A1
weapons/cannonGAU4;20 mm GAU-4 cannon
weapons/cannonGAU4/short;GAU-4
weapons/cannonJGAU4;20 mm GAU-4 cannon
weapons/cannonJGAU4/short;GAU-4
weapons/cannonGAU4_default;20 mm GAU-4 cannon
weapons/cannonGAU4_default/short;GAU-4
weapons/cannonLR30;30 mm LR30 cannon
weapons/cannonLR30/short;LR30
weapons/cannonGAU_13A;30 mm GAU-13/A cannon
weapons/cannonGAU_13A/short;GAU-13/A
weapons/gunGAU_19;12.7 mm GAU-19 machine gun
weapons/gunGAU_19/short;GAU-19
weapons/cannonGAU_12U;25 mm GAU-12/U cannon
weapons/cannonGAU_12U/short;GAU-12/U
weapons/cannonGAU_8A;Revolving gun from the 80s
weapons/cannonGAU_8A/short;Revolving gun from the 80s
